name,type,diameter_mm,length_mm,din,gost,strength_class,thread,coating,unit_erp,weight_g_per_piece,weight_source,price_supplier,unit_supplier,price_per_piece_rub,price_note,raw
Болт M20x70 DIN 931 ГОСТ 7798-70,Болт,20.0,70.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,271.0,справочник ГОСТ,385,кг,104.335,расчёт: 385 руб/кг ÷ 3.7 шт/кг,"Болт 20х 70 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M20x70 DIN 933 ГОСТ 7798-70,Болт,20.0,70.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,271.0,справочник ГОСТ,247.94,кг,67.19174,расчёт: 247.94 руб/кг ÷ 3.7 шт/кг,"Болт 20х 70 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x75 DIN 931 ГОСТ 7798-70,Болт,20.0,75.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,289.0,справочник ГОСТ,154,кг,44.506,расчёт: 154 руб/кг ÷ 3.5 шт/кг,"Болт 20х 75 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M20x80 DIN 931 ГОСТ 7798-70,Болт,20.0,80.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,307.0,справочник ГОСТ,185.9,кг,57.0713,расчёт: 185.9 руб/кг ÷ 3.3 шт/кг,"Болт 20х 80 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x85 DIN 931 ГОСТ 7798-70,Болт,20.0,85.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,,,186.88,кг,,,"Болт 20х 85 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M20x90 DIN 931 ГОСТ 7798-70,Болт,20.0,90.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,343.0,справочник ГОСТ,282.19,кг,96.79117,расчёт: 282.19 руб/кг ÷ 2.9 шт/кг,"Болт 20х 90 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M20x90 DIN 933 ГОСТ 7798-70,Болт,20.0,90.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,343.0,справочник ГОСТ,246.4,кг,84.5152,расчёт: 246.4 руб/кг ÷ 2.9 шт/кг,"Болт 20х 90 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x90 ГОСТ 7798-70,Болт,20.0,90.0,,ГОСТ 7798-70,,неполная,без покрытия,шт,343.0,справочник ГОСТ,913.5,кг,313.3305,расчёт: 913.5 руб/кг ÷ 2.9 шт/кг,"Болт 20х 90 без покрытия ГОСТ 7798-70 резьба неполная 09Г2С, Кг"
Болт M20x95 DIN 931 ГОСТ 7798-70,Болт,20.0,95.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,154,кг,,,"Болт 20х 95 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x100 DIN 933 ГОСТ 7798-70,Болт,20.0,100.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,379.0,справочник ГОСТ,239.16,кг,90.64164,расчёт: 239.16 руб/кг ÷ 2.6 шт/кг,"Болт 20х100 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x110 DIN 931 ГОСТ 7798-70,Болт,20.0,110.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,415.0,справочник ГОСТ,286,кг,118.69,расчёт: 286 руб/кг ÷ 2.4 шт/кг,"Болт 20х110 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M20x120 DIN 931 ГОСТ 7798-70,Болт,20.0,120.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,451.0,справочник ГОСТ,246.4,кг,111.1264,расчёт: 246.4 руб/кг ÷ 2.2 шт/кг,"Болт 20х120 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M20x120 DIN 933 ГОСТ 7798-70,Болт,20.0,120.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,451.0,справочник ГОСТ,284.71,кг,128.40421,расчёт: 284.71 руб/кг ÷ 2.2 шт/кг,"Болт 20х120 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x140 DIN 931 ГОСТ 7798-70,Болт,20.0,140.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,523.0,справочник ГОСТ,338.8,кг,177.1924,расчёт: 338.8 руб/кг ÷ 1.9 шт/кг,"Болт 20х140 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M20x150 DIN 931 ГОСТ 7798-70,Болт,20.0,150.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,559.0,справочник ГОСТ,271.54,кг,151.79086,расчёт: 271.54 руб/кг ÷ 1.8 шт/кг,"Болт 20х150 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M20x150 DIN 933 ГОСТ 7798-70,Болт,20.0,150.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,559.0,справочник ГОСТ,233.09,кг,130.29731,расчёт: 233.09 руб/кг ÷ 1.8 шт/кг,"Болт 20х150 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x180 DIN 931 ГОСТ 7798-70,Болт,20.0,180.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,667.0,справочник ГОСТ,243.38,кг,162.33446,расчёт: 243.38 руб/кг ÷ 1.5 шт/кг,"Болт 20х180 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M20x200 DIN 933 ГОСТ 7798-70,Болт,20.0,200.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,739.0,справочник ГОСТ,206.72,кг,152.76608,расчёт: 206.72 руб/кг ÷ 1.4 шт/кг,"Болт 20х200 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M20x230 DIN 931 ГОСТ 7798-70,Болт,20.0,230.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,286,кг,,,"Болт 20х230 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x240 DIN 931 ГОСТ 7798-70,Болт,20.0,240.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,388.08,кг,,,"Болт 20х240 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x250 DIN 931 ГОСТ 7798-70,Болт,20.0,250.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,239.49,кг,,,"Болт 20х250 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x260 DIN 931 ГОСТ 7798-70,Болт,20.0,260.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,243.11,кг,,,"Болт 20х260 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M20x300 DIN 931 ГОСТ 7798-70,Болт,20.0,300.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,,,336.49,кг,,,"Болт 20х300 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M22x65 DIN 931 ГОСТ 7798-70,Болт,22.0,65.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,326.0,справочник ГОСТ,509.76,кг,166.18176,расчёт: 509.76 руб/кг ÷ 3.1 шт/кг,"Болт 22х 65 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M22x70 DIN 931 ГОСТ 7798-70,Болт,22.0,70.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,349.0,справочник ГОСТ,368.62,кг,128.64838,расчёт: 368.62 руб/кг ÷ 2.9 шт/кг,"Болт 22х 70 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M22x70 DIN 933 ГОСТ 7798-70,Болт,22.0,70.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,349.0,справочник ГОСТ,254.09,кг,88.67741,расчёт: 254.09 руб/кг ÷ 2.9 шт/кг,"Болт 22х 70 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M22x90 DIN 931 ГОСТ 7798-70,Болт,22.0,90.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,441.0,справочник ГОСТ,340.75,кг,150.27075,расчёт: 340.75 руб/кг ÷ 2.3 шт/кг,"Болт 22х 90 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M22x175 DIN 931 ГОСТ 7798-70,Болт,22.0,175.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,664.13,кг,,,"Болт 22х175 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M22x180 DIN 931 ГОСТ 7798-70,Болт,22.0,180.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,855.0,справочник ГОСТ,228.7,кг,195.5385,расчёт: 228.7 руб/кг ÷ 1.2 шт/кг,"Болт 22х180 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M22x220 DIN 931 ГОСТ 7798-70,Болт,22.0,220.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,286,кг,,,"Болт 22х220 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M22x260 DIN 931 ГОСТ 7798-70,Болт,22.0,260.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,400.49,кг,,,"Болт 22х260 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M22x280 DIN 931 ГОСТ 7798-70,Болт,22.0,280.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,318.24,кг,,,"Болт 22х280 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M24x100 DIN 931 ГОСТ 7798-70,Болт,24.0,100.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,638.0,справочник ГОСТ,292.6,кг,186.6788,расчёт: 292.6 руб/кг ÷ 1.6 шт/кг,"Болт 24х100 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M24x50 DIN 931 ГОСТ 7798-70,Болт,24.0,50.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,338.0,справочник ГОСТ,293.92,кг,99.34496,расчёт: 293.92 руб/кг ÷ 3.0 шт/кг,"Болт 24х 50 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M24x60 DIN 931 ГОСТ 7798-70,Болт,24.0,60.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,398.0,справочник ГОСТ,290,кг,115.42,расчёт: 290 руб/кг ÷ 2.5 шт/кг,"Болт 24х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x70 DIN 931 ГОСТ 7798-70,Болт,24.0,70.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,458.0,справочник ГОСТ,492.43,кг,225.53294,расчёт: 492.43 руб/кг ÷ 2.2 шт/кг,"Болт 24х 70 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M24x75 DIN 931 ГОСТ 7798-70,Болт,24.0,75.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,488.0,справочник ГОСТ,306.39,кг,149.51832,расчёт: 306.39 руб/кг ÷ 2.0 шт/кг,"Болт 24х 75 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x80 DIN 931 ГОСТ 7798-70,Болт,24.0,80.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,518.0,справочник ГОСТ,357.5,кг,185.185,расчёт: 357.5 руб/кг ÷ 1.9 шт/кг,"Болт 24х 80 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x110 DIN 933 ГОСТ 7798-70,Болт,24.0,110.0,DIN 933,ГОСТ 7798-70,8.8,полная,без покрытия,шт,698.0,справочник ГОСТ,411.87,кг,287.48526,расчёт: 411.87 руб/кг ÷ 1.4 шт/кг,"Болт 24х110 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.8.8 резьба полная, Кг"
Болт M24x115 DIN 931 ГОСТ 7798-70,Болт,24.0,115.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,203,кг,,,"Болт 24х115 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M24x120 DIN 931 ГОСТ 7798-70,Болт,24.0,120.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,758.0,справочник ГОСТ,246.4,кг,186.7712,расчёт: 246.4 руб/кг ÷ 1.3 шт/кг,"Болт 24х120 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M24x120 DIN 933 ГОСТ 7798-70,Болт,24.0,120.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,758.0,справочник ГОСТ,292.49,кг,221.70742,расчёт: 292.49 руб/кг ÷ 1.3 шт/кг,"Болт 24х120 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M24x140 DIN 931 ГОСТ 7798-70,Болт,24.0,140.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,878.0,справочник ГОСТ,377.96,кг,331.84888,расчёт: 377.96 руб/кг ÷ 1.1 шт/кг,"Болт 24х140 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M24x160 DIN 931 ГОСТ 7798-70,Болт,24.0,160.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,998.0,справочник ГОСТ,400.4,кг,399.5992,расчёт: 400.4 руб/кг ÷ 1.0 шт/кг,"Болт 24х160 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x160 DIN 933 ГОСТ 7798-70,Болт,24.0,160.0,DIN 933,ГОСТ 7798-70,12.9,полная,без покрытия,шт,998.0,справочник ГОСТ,430.85,кг,429.9883,расчёт: 430.85 руб/кг ÷ 1.0 шт/кг,"Болт 24х160 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.12.9 резьба полная, Кг"
Болт M24x180 DIN 931 ГОСТ 7798-70,Болт,24.0,180.0,DIN 931,ГОСТ 7798-70,5.8,полная,без покрытия,шт,1118.0,справочник ГОСТ,200.46,кг,224.11428,расчёт: 200.46 руб/кг ÷ 0.9 шт/кг,"Болт 24х180 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M24x190 DIN 931 ГОСТ 7798-70,Болт,24.0,190.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,,,343.2,кг,,,"Болт 24х190 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x200 DIN 931 ГОСТ 7798-70,Болт,24.0,200.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1238.0,справочник ГОСТ,354.2,кг,438.4996,расчёт: 354.2 руб/кг ÷ 0.8 шт/кг,"Болт 24х200 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x220 DIN 931 ГОСТ 7798-70,Болт,24.0,220.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1358.0,справочник ГОСТ,300.44,кг,407.99752,расчёт: 300.44 руб/кг ÷ 0.7 шт/кг,"Болт 24х220 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x230 DIN 931 ГОСТ 7798-70,Болт,24.0,230.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,286,кг,,,"Болт 24х230 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M24x240 DIN 931 ГОСТ 7798-70,Болт,24.0,240.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1478.0,справочник ГОСТ,231.73,кг,342.49694,расчёт: 231.73 руб/кг ÷ 0.7 шт/кг,"Болт 24х240 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M24x250 DIN 931 ГОСТ 7798-70,Болт,24.0,250.0,DIN 931,ГОСТ 7798-70,12.9,неполная,без покрытия,шт,,,873.18,кг,,,"Болт 24х250 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.12.9 резьба неполная, Кг"
Болт M24x260 DIN 931 ГОСТ 7798-70,Болт,24.0,260.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,375.14,кг,,,"Болт 24х260 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M27x70 DIN 931 ГОСТ 7798-70,Болт,27.0,70.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,631.0,справочник ГОСТ,219.53,кг,138.52343,расчёт: 219.53 руб/кг ÷ 1.6 шт/кг,"Болт 27х 70 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M27x90 DIN 931 ГОСТ 7798-70,Болт,27.0,90.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,799.0,справочник ГОСТ,308.88,кг,246.79512,расчёт: 308.88 руб/кг ÷ 1.3 шт/кг,"Болт 27х 90 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M27x110 DIN 931 ГОСТ 7798-70,Болт,27.0,110.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,967.0,справочник ГОСТ,293.25,кг,283.57275,расчёт: 293.25 руб/кг ÷ 1.0 шт/кг,"Болт 27х110 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M27x115 DIN 931 ГОСТ 7798-70,Болт,27.0,115.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,206.32,кг,,,"Болт 27х115 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M27x120 DIN 931 ГОСТ 7798-70,Болт,27.0,120.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1051.0,справочник ГОСТ,333.5,кг,350.5085,расчёт: 333.5 руб/кг ÷ 1.0 шт/кг,"Болт 27х120 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M27x130 DIN 931 ГОСТ 7798-70,Болт,27.0,130.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1135.0,справочник ГОСТ,384.49,кг,436.39615,расчёт: 384.49 руб/кг ÷ 0.9 шт/кг,"Болт 27х130 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M27x170 DIN 931 ГОСТ 7798-70,Болт,27.0,170.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,269.46,кг,,,"Болт 27х170 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M27x180 DIN 931 ГОСТ 7798-70,Болт,27.0,180.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,267.15,кг,,,"Болт 27х180 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M27x200 DIN 931 ГОСТ 7798-70,Болт,27.0,200.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,,,334.39,кг,,,"Болт 27х200 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M30x60 DIN 931 ГОСТ 7798-70,Болт,30.0,60.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,727.0,справочник ГОСТ,163.64,кг,118.96628,расчёт: 163.64 руб/кг ÷ 1.4 шт/кг,"Болт 30х 60 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x80 DIN 931 ГОСТ 7798-70,Болт,30.0,80.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,963.0,справочник ГОСТ,275.5,кг,265.3065,расчёт: 275.5 руб/кг ÷ 1.0 шт/кг,"Болт 30х 80 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x90 DIN 931 ГОСТ 7798-70,Болт,30.0,90.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,1081.0,справочник ГОСТ,413.03,кг,446.48543,расчёт: 413.03 руб/кг ÷ 0.9 шт/кг,"Болт 30х 90 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M30x90 DIN 933 ГОСТ 7798-70,Болт,30.0,90.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,1081.0,справочник ГОСТ,368.1,кг,397.9161,расчёт: 368.1 руб/кг ÷ 0.9 шт/кг,"Болт 30х 90 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M30x115 DIN 931 ГОСТ 7798-70,Болт,30.0,115.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,210.56,кг,,,"Болт 30х115 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x120 DIN 931 ГОСТ 7798-70,Болт,30.0,120.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,1435.0,справочник ГОСТ,314.6,кг,451.451,расчёт: 314.6 руб/кг ÷ 0.7 шт/кг,"Болт 30х120 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M30x125 DIN 931 ГОСТ 7798-70,Болт,30.0,125.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,243.54,кг,,,"Болт 30х125 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x140 DIN 931 ГОСТ 7798-70,Болт,30.0,140.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,1671.0,справочник ГОСТ,178.04,кг,297.50484,расчёт: 178.04 руб/кг ÷ 0.6 шт/кг,"Болт 30х140 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x150 DIN 931 ГОСТ 7798-70,Болт,30.0,150.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,1789.0,справочник ГОСТ,155.35,кг,277.92115,расчёт: 155.35 руб/кг ÷ 0.6 шт/кг,"Болт 30х150 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x170 DIN 931 ГОСТ 7798-70,Болт,30.0,170.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,,,308.18,кг,,,"Болт 30х170 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M30x180 DIN 931 ГОСТ 7798-70,Болт,30.0,180.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,2143.0,справочник ГОСТ,371.8,кг,796.7674,расчёт: 371.8 руб/кг ÷ 0.5 шт/кг,"Болт 30х180 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M30x200 DIN 931 ГОСТ 7798-70,Болт,30.0,200.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,2379.0,справочник ГОСТ,431.04,кг,1025.44416,расчёт: 431.04 руб/кг ÷ 0.4 шт/кг,"Болт 30х200 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M30x200 DIN 933 ГОСТ 7798-70,Болт,30.0,200.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,2379.0,справочник ГОСТ,257.4,кг,612.3546,расчёт: 257.4 руб/кг ÷ 0.4 шт/кг,"Болт 30х200 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M30x220 DIN 931 ГОСТ 7798-70,Болт,30.0,220.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,253.08,кг,,,"Болт 30х220 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M30x280 DIN 931 ГОСТ 7798-70,Болт,30.0,280.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,,,211.12,кг,,,"Болт 30х280 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M36x50 DIN 933 ГОСТ 7798-70,Болт,36.0,50.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,,,256.37,кг,,,"Болт 36х 50 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M36x100 DIN 931 ГОСТ 7798-70,Болт,36.0,100.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,2092.0,справочник ГОСТ,308,кг,644.336,расчёт: 308 руб/кг ÷ 0.5 шт/кг,"Болт 36х100 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M36x125 DIN 931 ГОСТ 7798-70,Болт,36.0,125.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,,,627.9,кг,,,"Болт 36х125 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M36x130 DIN 931 ГОСТ 7798-70,Болт,36.0,130.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,2722.0,справочник ГОСТ,356.59,кг,970.63798,расчёт: 356.59 руб/кг ÷ 0.4 шт/кг,"Болт 36х130 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
Болт M36x140 DIN 931 ГОСТ 7798-70,Болт,36.0,140.0,DIN 931,ГОСТ 7798-70,10.9,неполная,без покрытия,шт,,,350.35,кг,,,"Болт 36х140 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.10.9 резьба неполная, Кг"
